flanks	gene_id	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac
75786074-75786474	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
75787296-75787696	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	1.21507
75787297-75787697	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	1.21507
75787323-75787723	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	1.21507
75787375-75787775	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	1.21507
75787404-75787804	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	1.21507
81936528-81936928	ENSG00000117114.21	-0.2734				
81936637-81937037	ENSG00000117114.21	-0.2734				
81941834-81942234	ENSG00000117114.21	0.2734				
81941845-81942245	ENSG00000117114.21	0.2734				
81942769-81943169	ENSG00000117114.21	0.2734				
9735685-9736085	ENSG00000171603.18	0.534				
9735842-9736242	ENSG00000171603.18	0.534				
9737298-9737698	ENSG00000171603.18	-0.5052				
9737354-9737754	ENSG00000171603.18	-0.5052				
9740894-9741294	ENSG00000171603.18	0.534				
9741056-9741456	ENSG00000171603.18	0.534				
103392083-103392483	ENSG00000173915.16	-0.3202				
103392171-103392571	ENSG00000173915.16	-0.3202				
103392266-103392666	ENSG00000173915.16	-0.3202				
103396209-103396609	ENSG00000173915.16	-0.3202	-0.02657	0.0	0.0	-0.36185
103396266-103396666	ENSG00000173915.16	-0.3202	-0.02657	0.0	0.0	-0.36185
103396275-103396675	ENSG00000173915.16	-0.3202	-0.02657	0.0	0.0	-0.36185
103396292-103396692	ENSG00000173915.16	-0.3202	-0.02657	0.0	0.0	-0.36185
104007977-104008377	ENSG00000065613.15	0.8991				
104007998-104008398	ENSG00000065613.15	0.8991				
104008156-104008556	ENSG00000065613.15	0.8991				
104010616-104011016	ENSG00000065613.15	0.8991				
104010708-104011108	ENSG00000065613.15	0.8991				
104017960-104018360	ENSG00000065613.15	0.894				
104018089-104018489	ENSG00000065613.15	0.894				
125788715-125789115	ENSG00000188690.15	-0.3654				
125788805-125789205	ENSG00000188690.15	-0.3654				
125794680-125795080	ENSG00000188690.15	-0.3654				
125794700-125795100	ENSG00000188690.15	-0.3654				
125794702-125795102	ENSG00000188690.15	-0.3654				
125794778-125795178	ENSG00000188690.15	-0.3654				
125794862-125795262	ENSG00000188690.15	-0.3654				
132351407-132351807	ENSG00000148814.18	-0.4177	0.0	1.69408	0.0	0.0
132351553-132351953	ENSG00000148814.18	-0.4177	0.0	1.69408	0.0	0.0
132355590-132355990	ENSG00000148814.18	-0.4177				
132355686-132356086	ENSG00000148814.18	-0.4177				
14878620-14879020	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878648-14879048	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878663-14879063	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878666-14879066	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878700-14879100	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878719-14879119	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878722-14879122	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14878760-14879160	ENSG00000152455.16	-0.3141	-0.19528	0.0	0.0	-0.416
14896646-14897046	ENSG00000152455.16	-0.3141				
14896777-14897177	ENSG00000152455.16	-0.3141				
21172183-21172583	ENSG00000078114.19	-0.3238	0.0	1.52008	0.0	0.0
21172252-21172652	ENSG00000078114.19	-0.3238	0.0	1.52008	0.0	0.0
21172277-21172677	ENSG00000078114.19	-0.3238	0.0	1.52008	0.0	0.0
21173565-21173965	ENSG00000078114.19	-0.3238	-0.53603	1.12565	0.0	0.0
21173638-21174038	ENSG00000078114.19	-0.3238	-0.53603	1.12565	0.0	0.0
21173693-21174093	ENSG00000078114.19	-0.3238	-0.53603	1.12565	0.0	0.0
21538633-21539033	ENSG00000078403.17	0.3845				
21538712-21539112	ENSG00000078403.17	0.3845				
21538764-21539164	ENSG00000078403.17	0.3845				
21556443-21556843	ENSG00000078403.17	0.3845				
21556477-21556877	ENSG00000078403.17	0.3845				
24536574-24536974	ENSG00000120549.18	0.7145				
24536693-24537093	ENSG00000120549.18	0.7145				
24542307-24542707	ENSG00000120549.18	0.7145				
24542342-24542742	ENSG00000120549.18	0.7145				
24542493-24542893	ENSG00000120549.18	0.7145				
24542570-24542970	ENSG00000120549.18	0.7145				
24542683-24543083	ENSG00000120549.18	0.7145				
24544281-24544681	ENSG00000120549.18	0.8747				
24544781-24545181	ENSG00000120549.18	0.8747				
24544903-24545303	ENSG00000120549.18	0.8747				
29569055-29569455	ENSG00000197321.16	-0.2778				
29569112-29569512	ENSG00000197321.16	-0.2778				
29657769-29658169	ENSG00000197321.16	-0.2778				
29657868-29658268	ENSG00000197321.16	-0.2778				
31831539-31831939	ENSG00000165322.18	-0.3304				
31831600-31832000	ENSG00000165322.18	-0.3304				
31843261-31843661	ENSG00000165322.18	-0.3304				
31843356-31843756	ENSG00000165322.18	-0.3304				
31843386-31843786	ENSG00000165322.18	-0.3304				
45461031-45461431	ENSG00000165406.16	0.3435				
45461187-45461587	ENSG00000165406.16	0.3435				
45461211-45461611	ENSG00000165406.16	0.3435				
45462951-45463351	ENSG00000165406.16	-0.3341				
45463796-45464196	ENSG00000165406.16	-0.3435				
45464039-45464439	ENSG00000165406.16	0.3435				
45464127-45464527	ENSG00000165406.16	0.3435				
45952923-45953323	ENSG00000239883.9	0.5917				
45953006-45953406	ENSG00000239883.9	0.5917				
45953134-45953534	ENSG00000239883.9	0.5917				
45953256-45953656	ENSG00000239883.9	-0.5917				
45962611-45963011	ENSG00000239883.9	0.5917				
45962794-45963194	ENSG00000239883.9	0.5917				
49922136-49922536	ENSG00000227345.9	0.343				
49922219-49922619	ENSG00000227345.9	0.343				
49922347-49922747	ENSG00000227345.9	0.343				
49922469-49922869	ENSG00000227345.9	0.343				
49931900-49932300	ENSG00000227345.9	-0.343				
49932083-49932483	ENSG00000227345.9	-0.343				
49988550-49988950	ENSG00000178440.8	0.3933				
49988551-49988951	ENSG00000178440.8	0.3933				
49988699-49989099	ENSG00000178440.8	0.3933				
49988738-49989138	ENSG00000178440.8	0.3933				
49989108-49989508	ENSG00000178440.8	0.3933				
49989176-49989576	ENSG00000178440.8	0.3933				
50097475-50097875	ENSG00000099290.17	0.5406				
50097602-50098002	ENSG00000099290.17	0.5406				
50099778-50100178	ENSG00000099290.17	-0.5406				
50099864-50100264	ENSG00000099290.17	-0.5406				
50103842-50104242	ENSG00000099290.17	0.5406				
50103943-50104343	ENSG00000099290.17	0.5406				
51907307-51907707	ENSG00000185532.20	-0.7105	0.0	2.90664	0.0	0.0
51907370-51907770	ENSG00000185532.20	-0.7105	0.0	2.90664	0.0	0.0
52054284-52054684	ENSG00000185532.20	-0.7105				
52054361-52054761	ENSG00000185532.20	-0.7105				
68720944-68721344	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68720956-68721356	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721016-68721416	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721026-68721426	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721027-68721427	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721039-68721439	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721042-68721442	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721052-68721452	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721055-68721455	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721082-68721482	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721088-68721488	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68721206-68721606	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68722255-68722655	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.43406
68722377-68722777	ENSG00000060339.14	-0.2982	-0.09574	0.0	0.0	0.0
98399902-98400302	ENSG00000119943.13	-0.48				
98400057-98400457	ENSG00000119943.13	-0.48				
98407382-98407782	ENSG00000119943.13	0.48				
98407455-98407855	ENSG00000119943.13	0.48				
10799409-10799809	ENSG00000110321.19	-0.3954				
10799426-10799826	ENSG00000110321.19	-0.3954				
10799556-10799956	ENSG00000110321.19	-0.3954				
10799890-10800290	ENSG00000110321.19	-0.3954				
10799892-10800292	ENSG00000110321.19	-0.3954				
10799968-10800368	ENSG00000110321.19	-0.3954				
10800044-10800444	ENSG00000110321.19	-0.3954				
10800095-10800495	ENSG00000110321.19	-0.3954				
10800148-10800548	ENSG00000110321.19	-0.3954				
10800232-10800632	ENSG00000110321.19	-0.3954				
115178444-115178844	ENSG00000182985.18	-0.2817				
115178575-115178975	ENSG00000182985.18	-0.2817				
115198206-115198606	ENSG00000182985.18	-0.2817				
115198238-115198638	ENSG00000182985.18	-0.2817				
115198240-115198640	ENSG00000182985.18	-0.2817				
119029169-119029569	ENSG00000137700.18	-0.5069	-0.12287	0.0	0.0	0.0
