gene_id	lsv_id	seqid	junction0	mean_dpsi_per_lsv_junction	probability_changing	flanks	start	stop	strand
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139890-111140290	111139890	111140290	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139893-111140293	111139893	111140293	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139895-111140295	111139895	111140295	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111140003-111140403	111140003	111140403	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111140023-111140423	111140023	111140423	-
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113681336	0.4322	0.9619	113680998-113681398	113680998	113681398	+
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113681336	0.4322	0.9619	113681136-113681536	113681136	113681536	+
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113682302	-0.4322	0.9619	113682012-113682412	113682012	113682412	+
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113682302	-0.4322	0.9619	113682102-113682502	113682102	113682502	+
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113682302	-0.4322	0.9619	113682234-113682634	113682234	113682634	+
ENSG00000081026.19	ENSG00000081026.19:t:113682897-113685923	chr1	113682897	0.4322	0.9619	113682697-113683097	113682697	113683097	+
ENSG00000197323.12	ENSG00000197323.12:t:114397608-114397860	chr1	114397860	0.2914	0.954	114397532-114397932	114397532	114397932	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114397990	0.2959	0.9552	114397638-114398038	114397638	114398038	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114397990	0.2959	0.9552	114397660-114398060	114397660	114398060	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114397990	0.2959	0.9552	114397740-114398140	114397740	114398140	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114397990	0.2959	0.9552	114397790-114398190	114397790	114398190	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114399457	0.2959	0.9552	114399257-114399657	114399257	114399657	-
ENSG00000197323.12	ENSG00000197323.12:s:114399457-114399609	chr1	114399457	0.2959	0.9552	114399409-114399809	114399409	114399809	-
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12019552	-0.3266	0.9956	12019266-12019666	12019266	12019666	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12019552	-0.3266	0.9956	12019298-12019698	12019298	12019698	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12019552	-0.3266	0.9956	12019352-12019752	12019352	12019752	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12021840	0.3266	0.9956	12021445-12021845	12021445	12021845	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12021840	0.3266	0.9956	12021640-12022040	12021640	12022040	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12022095	0.3266	0.9956	12021895-12022295	12021895	12022295	+
ENSG00000116691.11	ENSG00000116691.11:t:12022095-12022442	chr1	12022095	0.3266	0.9956	12022022-12022422	12022022	12022422	+
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144426370	0.3777	0.966	144426078-144426478	144426078	144426478	-
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144426370	0.3777	0.966	144426250-144426650	144426250	144426650	-
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144427098	-0.3777	0.966	144426847-144427247	144426847	144427247	-
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144427098	-0.3777	0.966	144426898-144427298	144426898	144427298	-
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144427911	0.3777	0.966	144427618-144428018	144427618	144428018	-
ENSG00000266338.7	ENSG00000266338.7:s:144427818-144427990	chr1	144427911	0.3777	0.966	144427790-144428190	144427790	144428190	-
ENSG00000160072.20	ENSG00000160072.20:s:1477274-1477350	chr1	1477350	0.4118	0.9994	1477074-1477474	1477074	1477474	+
ENSG00000160072.20	ENSG00000160072.20:s:1477274-1477350	chr1	1477350	0.4118	0.9994	1477150-1477550	1477150	1477550	+
ENSG00000160072.20	ENSG00000160072.20:s:1477274-1477350	chr1	1478644	0.4118	0.9994	1478444-1478844	1478444	1478844	+
ENSG00000160072.20	ENSG00000160072.20:s:1477274-1477350	chr1	1478644	0.4118	0.9994	1478545-1478945	1478545	1478945	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220649-154221049	154220649	154221049	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220685-154221085	154220685	154221085	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220743-154221143	154220743	154221143	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220747-154221147	154220747	154221147	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220755-154221155	154220755	154221155	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220767-154221167	154220767	154221167	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220775-154221175	154220775	154221175	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154220975	-0.4517	1.0	154220840-154221240	154220840	154221240	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154225084	-0.4517	1.0	154224882-154225282	154224882	154225282	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154225084	-0.4517	1.0	154224884-154225284	154224884	154225284	+
ENSG00000143569.19	ENSG00000143569.19:t:154225082-154225213	chr1	154225084	-0.4517	1.0	154225013-154225413	154225013	154225413	+
ENSG00000143537.14	ENSG00000143537.14:s:155060763-155060832	chr1	155060832	-0.4156	0.999	155060563-155060963	155060563	155060963	+
ENSG00000143537.14	ENSG00000143537.14:s:155060763-155060832	chr1	155060832	-0.4156	0.999	155060632-155061032	155060632	155061032	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155061975	0.6256	1.0	155061704-155062104	155061704	155062104	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155061975	0.6256	1.0	155061775-155062175	155061775	155062175	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155061975	0.6256	1.0	155061917-155062317	155061917	155062317	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155061975	0.6256	1.0	155061961-155062361	155061961	155062361	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155062245	0.6256	1.0	155062045-155062445	155062045	155062445	+
ENSG00000143537.14	ENSG00000143537.14:t:155062161-155062369	chr1	155062245	0.6256	1.0	155062169-155062569	155062169	155062569	+
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217373	0.4539	0.9963	155217040-155217440	155217040	155217440	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217373	0.4539	0.9963	155217173-155217573	155217173	155217573	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217373	0.4539	0.9963	155217319-155217719	155217319	155217719	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217519	0.4539	0.9963	155217393-155217793	155217393	155217793	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217519	0.4539	0.9963	155217505-155217905	155217505	155217905	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217964	-0.449	0.9959	155217577-155217977	155217577	155217977	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217964	-0.449	0.9959	155217646-155218046	155217646	155218046	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217964	-0.449	0.9959	155217764-155218164	155217764	155218164	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217964	-0.449	0.9959	155217849-155218249	155217849	155218249	-
ENSG00000160766.15	ENSG00000160766.15:t:155217240-155217373	chr1	155217964	-0.449	0.9959	155217950-155218350	155217950	155218350	-
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155308965	-0.5055	0.9993	155308594-155308994	155308594	155308994	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155308965	-0.5055	0.9993	155308603-155309003	155308603	155309003	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155308965	-0.5055	0.9993	155308654-155309054	155308654	155309054	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155308965	-0.5055	0.9993	155308663-155309063	155308663	155309063	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155308965	-0.5055	0.9993	155308666-155309066	155308666	155309066	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308689-155309089	155308689	155309089	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308693-155309093	155308693	155309093	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308714-155309114	155308714	155309114	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308716-155309116	155308716	155309116	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308759-155309159	155308759	155309159	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308765-155309165	155308765	155309165	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308768-155309168	155308768	155309168	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308770-155309170	155308770	155309170	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308784-155309184	155308784	155309184	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308785-155309185	155308785	155309185	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309076	0.5149	0.9997	155308876-155309276	155308876	155309276	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309789	0.5149	0.9997	155309553-155309953	155309553	155309953	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309789	0.5149	0.9997	155309589-155309989	155309589	155309989	+
ENSG00000160752.15	ENSG00000160752.15:t:155309753-155309965	chr1	155309789	0.5149	0.9997	155309765-155310165	155309765	155310165	+
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155521618	0.3409	0.9714	155521418-155521818	155521418	155521818	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155561826-155562226	155561826	155562226	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155561873-155562273	155561873	155562273	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155561953-155562353	155561953	155562353	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155562086-155562486	155562086	155562486	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155562091-155562491	155562091	155562491	-
ENSG00000116539.14	ENSG00000116539.14:t:155521100-155521618	chr1	155562153	0.3409	0.9714	155562095-155562495	155562095	155562495	-
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156083184	-0.4828	0.9969	156082984-156083384	156082984	156083384	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156106823	0.6985	1.0	156106458-156106858	156106458	156106858	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156106823	0.6985	1.0	156106498-156106898	156106498	156106898	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156106823	0.6985	1.0	156106623-156107023	156106623	156107023	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114470-156114870	156114470	156114870	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114511-156114911	156114511	156114911	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114513-156114913	156114513	156114913	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114522-156114922	156114522	156114922	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114591-156114991	156114591	156114991	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114670	0.6985	1.0	156114638-156115038	156114638	156115038	+
ENSG00000160789.24	ENSG00000160789.24:t:156114670-156114911	chr1	156114713	-0.4828	0.9969	156114711-156115111	156114711	156115111	+
ENSG00000132694.19	ENSG00000132694.19:t:156937249-156937496	chr1	156937496	0.9062	1.0	156937296-156937696	156937296	156937696	-
ENSG00000132694.19	ENSG00000132694.19:s:156939548-156939910	chr1	156938513	-0.8805	1.0	156938218-156938618	156938218	156938618	-
ENSG00000132694.19	ENSG00000132694.19:s:156939548-156939910	chr1	156938513	-0.8805	1.0	156938313-156938713	156938313	156938713	-
ENSG00000132694.19	ENSG00000132694.19:t:156937249-156937496	chr1	156939548	0.9062	1.0	156939348-156939748	156939348	156939748	-
ENSG00000132694.19	ENSG00000132694.19:t:156937249-156937496	chr1	156939548	0.9062	1.0	156939540-156939940	156939540	156939940	-
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159171853	-0.4809	0.9998	159171559-159171959	159171559	159171959	+
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159171853	-0.4809	0.9998	159171653-159172053	159171653	159172053	+
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159189872	0.3742	0.9858	159189571-159189971	159189571	159189971	+
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159189872	0.3742	0.9858	159189672-159190072	159189672	159190072	+
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159191936	0.3742	0.9858	159191736-159192136	159191736	159192136	+
ENSG00000162706.13	ENSG00000162706.13:t:159191936-159192076	chr1	159191936	0.3742	0.9858	159191876-159192276	159191876	159192276	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167773368	0.3327	0.9997	167773036-167773436	167773036	167773436	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167773368	0.3327	0.9997	167773168-167773568	167773168	167773568	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167776064	0.3327	0.9997	167775864-167776264	167775864	167776264	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167776064	0.3327	0.9997	167775966-167776366	167775966	167776366	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167787820	-0.3327	0.9997	167787620-167788020	167787620	167788020	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167787820	-0.3327	0.9997	167787644-167788044	167787644	167788044	+
ENSG00000197965.12	ENSG00000197965.12:s:167773236-167773909	chr1	167787820	-0.3327	0.9997	167787812-167788212	167787812	167788212	+
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865029-173865429	173865029	173865429	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865044-173865444	173865044	173865444	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865049-173865449	173865049	173865449	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865082-173865482	173865082	173865482	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865153-173865553	173865153	173865553	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865282	0.2814	0.9934	173865271-173865671	173865271	173865671	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865471	0.2814	0.9934	173865310-173865710	173865310	173865710	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865471	0.2814	0.9934	173865347-173865747	173865347	173865747	-
ENSG00000234741.9	ENSG00000234741.9:t:173865229-173865300	chr1	173865471	0.2814	0.9934	173865365-173865765	173865365	173865765	-
ENSG00000215790.8	ENSG00000215790.8:t:1739236-1739704	chr1	1739704	0.31	0.9715	1739357-1739757	1739357	1739757	-
ENSG00000215790.8	ENSG00000215790.8:t:1739236-1739704	chr1	1739704	0.31	0.9715	1739504-1739904	1739504	1739904	-
ENSG00000215790.8	ENSG00000215790.8:t:1739236-1739704	chr1	1744251	0.31	0.9715	1744051-1744451	1744051	1744451	-
ENSG00000215790.8	ENSG00000215790.8:t:1739236-1739704	chr1	1745724	-0.31	0.9715	1745524-1745924	1745524	1745924	-
ENSG00000215790.8	ENSG00000215790.8:t:1739236-1739704	chr1	1745724	-0.31	0.9715	1745719-1746119	1745719	1746119	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1765446	0.3294	0.9995	1765246-1765646	1765246	1765646	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1778289	-0.3768	1.0	1778089-1778489	1778089	1778489	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1778289	-0.3768	1.0	1778219-1778619	1778219	1778619	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1778289	-0.3768	1.0	1778220-1778620	1778220	1778620	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1778289	-0.3768	1.0	1778270-1778670	1778270	1778670	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1779905	0.3294	0.9995	1779705-1780105	1779705	1780105	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1779905	0.3294	0.9995	1779762-1780162	1779762	1780162	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1779905	0.3294	0.9995	1779829-1780229	1779829	1780229	-
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	1779905	0.3294	0.9995	1779869-1780269	1779869	1780269	-
ENSG00000116191.19	ENSG00000116191.19:s:178889642-178889696	chr1	178889696	0.5711	1.0	178889442-178889842	178889442	178889842	+
ENSG00000116191.19	ENSG00000116191.19:s:178889642-178889696	chr1	178889696	0.5711	1.0	178889496-178889896	178889496	178889896	+
ENSG00000116191.19	ENSG00000116191.19:t:178893838-178894325	chr1	178892307	0.6058	1.0	178892030-178892430	178892030	178892430	+
ENSG00000116191.19	ENSG00000116191.19:t:178893838-178894325	chr1	178892307	0.6058	1.0	178892107-178892507	178892107	178892507	+
ENSG00000116191.19	ENSG00000116191.19:t:178893838-178894325	chr1	178893919	0.6058	1.0	178893638-178894038	178893638	178894038	+
ENSG00000116191.19	ENSG00000116191.19:t:178893838-178894325	chr1	178893919	0.6058	1.0	178893719-178894119	178893719	178894119	+
ENSG00000116191.19	ENSG00000116191.19:t:178893838-178894325	chr1	178893919	0.6058	1.0	178893824-178894224	178893824	178894224	+
ENSG00000143337.19	ENSG00000143337.19:s:179884692-179884769	chr1	179884769	0.4214	1.0	179884492-179884892	179884492	179884892	+
ENSG00000143337.19	ENSG00000143337.19:s:179884692-179884769	chr1	179884769	0.4214	1.0	179884569-179884969	179884569	179884969	+
ENSG00000143337.19	ENSG00000143337.19:s:179884692-179884769	chr1	179889313	0.4214	1.0	179889110-179889510	179889110	179889510	+
ENSG00000143337.19	ENSG00000143337.19:s:179884692-179884769	chr1	179889313	0.4214	1.0	179889113-179889513	179889113	179889513	+
ENSG00000143337.19	ENSG00000143337.19:s:179884692-179884769	chr1	179889313	0.4214	1.0	179889169-179889569	179889169	179889569	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200411962	0.3743	0.9974	200411612-200412012	200411612	200412012	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200411962	0.3743	0.9974	200411626-200412026	200411626	200412026	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200411962	0.3743	0.9974	200411762-200412162	200411762	200412162	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200415365	0.3743	0.9974	200415165-200415565	200415165	200415565	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200415365	0.3743	0.9974	200415350-200415750	200415350	200415750	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200415365	0.3743	0.9974	200415351-200415751	200415351	200415751	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200473909	-0.4017	0.9987	200473709-200474109	200473709	200474109	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200473909	-0.4017	0.9987	200473711-200474111	200473711	200474111	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200473909	-0.4017	0.9987	200473864-200474264	200473864	200474264	+
ENSG00000230623.7	ENSG00000230623.7:s:200411528-200411962	chr1	200473909	-0.4017	0.9987	200473900-200474300	200473900	200474300	+
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153583-201153983	201153583	201153983	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153649-201154049	201153649	201154049	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153658-201154058	201153658	201154058	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153757-201154157	201153757	201154157	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153759-201154159	201153759	201154159	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153761-201154161	201153761	201154161	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201153959	0.3877	0.9999	201153948-201154348	201153948	201154348	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201154445	-0.4781	1.0	201154162-201154562	201154162	201154562	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201154445	-0.4781	1.0	201154218-201154618	201154218	201154618	-
ENSG00000116857.17	ENSG00000116857.17:t:201153783-201153961	chr1	201154445	-0.4781	1.0	201154233-201154633	201154233	201154633	-
