gene_id	flanks
ENSG00000197965.12	167787644-167788044
ENSG00000197965.12	167787812-167788212
ENSG00000234741.9	173865029-173865429
ENSG00000234741.9	173865044-173865444
ENSG00000234741.9	173865049-173865449
ENSG00000234741.9	173865082-173865482
ENSG00000234741.9	173865153-173865553
ENSG00000234741.9	173865271-173865671
ENSG00000234741.9	173865310-173865710
ENSG00000234741.9	173865347-173865747
ENSG00000234741.9	173865365-173865765
ENSG00000116191.19	178889442-178889842
ENSG00000116191.19	178889496-178889896
ENSG00000116191.19	178892030-178892430
ENSG00000116191.19	178892107-178892507
ENSG00000116191.19	178893638-178894038
ENSG00000116191.19	178893719-178894119
ENSG00000116191.19	178893824-178894224
ENSG00000143337.19	179884492-179884892
ENSG00000143337.19	179884569-179884969
ENSG00000143337.19	179889110-179889510
ENSG00000143337.19	179889113-179889513
ENSG00000143337.19	179889169-179889569
ENSG00000163531.17	204944026-204944426
ENSG00000163531.17	204944051-204944451
ENSG00000163531.17	204944206-204944606
ENSG00000163531.17	204950357-204950757
ENSG00000163531.17	204950374-204950774
ENSG00000163531.17	204951811-204952211
ENSG00000163531.17	204951916-204952316
ENSG00000117625.14	211303811-211304211
ENSG00000117625.14	211303883-211304283
ENSG00000117625.14	211303940-211304340
ENSG00000117625.14	211312155-211312555
ENSG00000117625.14	211312287-211312687
ENSG00000117625.14	211312520-211312920
ENSG00000117625.14	211312604-211313004
ENSG00000117625.14	211312619-211313019
ENSG00000117625.14	211312635-211313035
ENSG00000174606.14	213013218-213013618
ENSG00000174606.14	213015293-213015693
ENSG00000174606.14	213015409-213015809
ENSG00000174606.14	213015413-213015813
ENSG00000162819.12	222713121-222713521
ENSG00000162819.12	222713169-222713569
ENSG00000162819.12	222713176-222713576
ENSG00000162819.12	222713181-222713581
ENSG00000162819.12	222713201-222713601
ENSG00000162819.12	222713216-222713616
ENSG00000162819.12	222713388-222713788
ENSG00000162819.12	222715484-222715884
ENSG00000162819.12	222715600-222716000
ENSG00000154358.23	228355951-228356351
ENSG00000154358.23	228355993-228356393
ENSG00000154358.23	228356144-228356544
ENSG00000154358.23	228359397-228359797
ENSG00000116977.19	236542515-236542915
ENSG00000116977.19	236542561-236542961
ENSG00000116977.19	236542587-236542987
ENSG00000116977.19	236542607-236543007
ENSG00000116977.19	236542627-236543027
ENSG00000116977.19	236542656-236543056
ENSG00000116977.19	236542715-236543115
ENSG00000116977.19	236542790-236543190
ENSG00000116977.19	236542813-236543213
ENSG00000116977.19	236542827-236543227
ENSG00000116977.19	236542840-236543240
ENSG00000116977.19	236543360-236543760
ENSG00000116977.19	236543409-236543809
ENSG00000116977.19	236543448-236543848
ENSG00000133226.18	24662460-24662860
ENSG00000133226.18	24662604-24663004
ENSG00000133226.18	24662868-24663268
ENSG00000133226.18	24662983-24663383
ENSG00000133226.18	24663024-24663424
ENSG00000133226.18	24666615-24667015
ENSG00000133226.18	24666645-24667045
ENSG00000133226.18	24666725-24667125
ENSG00000117682.17	26432082-26432482
ENSG00000117682.17	26432116-26432516
ENSG00000117682.17	26432121-26432521
ENSG00000117682.17	26432123-26432523
ENSG00000117682.17	26432129-26432529
ENSG00000117682.17	26432139-26432539
ENSG00000117682.17	26432140-26432540
ENSG00000117682.17	26432142-26432542
ENSG00000117682.17	26432145-26432545
ENSG00000117682.17	26432155-26432555
ENSG00000117682.17	26432166-26432566
ENSG00000117682.17	26432167-26432567
ENSG00000117682.17	26432168-26432568
ENSG00000117682.17	26432171-26432571
ENSG00000117682.17	26432176-26432576
ENSG00000117682.17	26432186-26432586
ENSG00000117682.17	26432190-26432590
ENSG00000117682.17	26432195-26432595
ENSG00000117682.17	26432198-26432598
ENSG00000117682.17	26432203-26432603
ENSG00000117682.17	26432215-26432615
ENSG00000117682.17	26432292-26432692
ENSG00000117682.17	26432318-26432718
ENSG00000117682.17	26432394-26432794
ENSG00000117682.17	26432441-26432841
ENSG00000117682.17	26432523-26432923
ENSG00000117682.17	26432526-26432926
ENSG00000117682.17	26432578-26432978
ENSG00000117682.17	26432691-26433091
ENSG00000117682.17	26432808-26433208
ENSG00000180198.17	28517936-28518336
ENSG00000180198.17	28518057-28518457
ENSG00000180198.17	28518066-28518466
ENSG00000180198.17	28518108-28518508
ENSG00000180198.17	28529658-28530058
ENSG00000180198.17	28529739-28530139
ENSG00000162522.11	32753819-32754219
ENSG00000162522.11	32753821-32754221
ENSG00000162522.11	32753980-32754380
ENSG00000162522.11	32767587-32767987
ENSG00000162522.11	32767757-32768157
ENSG00000004455.17	33010555-33010955
ENSG00000004455.17	33010633-33011033
ENSG00000004455.17	33011874-33012274
ENSG00000004455.17	33011922-33012322
ENSG00000004455.17	33012844-33013244
ENSG00000004455.17	33013007-33013407
ENSG00000004455.17	33013087-33013487
ENSG00000004455.17	33013202-33013602
ENSG00000116560.11	35177789-35178189
ENSG00000116560.11	35177836-35178236
ENSG00000116560.11	35177936-35178336
ENSG00000116560.11	35186801-35187201
ENSG00000116560.11	35186922-35187322
ENSG00000126070.20	35973175-35973575
ENSG00000126070.20	35973311-35973711
ENSG00000126070.20	35973392-35973792
ENSG00000126070.20	35982421-35982821
ENSG00000126070.20	35982452-35982852
ENSG00000126070.20	35982512-35982912
ENSG00000126070.20	36004141-36004541
ENSG00000126070.20	36004275-36004675
ENSG00000168653.11	39026118-39026518
ENSG00000168653.11	39026150-39026550
ENSG00000168653.11	39026198-39026598
ENSG00000168653.11	39026202-39026602
ENSG00000168653.11	39028523-39028923
ENSG00000090621.15	39563414-39563814
ENSG00000090621.15	39563416-39563816
ENSG00000090621.15	39563541-39563941
ENSG00000090621.15	39563596-39563996
ENSG00000090621.15	39563636-39564036
ENSG00000090621.15	39563722-39564122
ENSG00000079277.22	46593913-46594313
ENSG00000079277.22	46594006-46594406
ENSG00000079277.22	46594031-46594431
ENSG00000079277.22	46594061-46594461
ENSG00000079277.22	46594080-46594480
ENSG00000079277.22	46603965-46604365
ENSG00000079277.22	46603985-46604385
ENSG00000079277.22	46604014-46604414
ENSG00000079277.22	46604024-46604424
ENSG00000079277.22	46604027-46604427
ENSG00000079277.22	46604046-46604446
ENSG00000079277.22	46604055-46604455
ENSG00000079277.22	46604068-46604468
ENSG00000079277.22	46604070-46604470
ENSG00000079277.22	46604079-46604479
ENSG00000079277.22	46604094-46604494
ENSG00000237094.12	496909-497309
ENSG00000237094.12	496934-497334
ENSG00000237094.12	497005-497405
ENSG00000237094.12	497010-497410
ENSG00000237094.12	497028-497428
ENSG00000237094.12	497040-497440
ENSG00000237094.12	497045-497445
ENSG00000237094.12	497059-497459
ENSG00000237094.12	497075-497475
ENSG00000237094.12	497099-497499
ENSG00000237094.12	498081-498481
ENSG00000237094.12	498105-498505
ENSG00000237094.12	498199-498599
ENSG00000237094.12	498256-498656
ENSG00000157193.18	53275431-53275831
ENSG00000157193.18	53275455-53275855
ENSG00000157193.18	53275553-53275953
ENSG00000157193.18	53276492-53276892
ENSG00000157193.18	53276507-53276907
ENSG00000157193.18	53276624-53277024
ENSG00000157193.18	53280387-53280787
ENSG00000157193.18	53280515-53280915
ENSG00000116641.18	62477500-62477900
ENSG00000116641.18	62477553-62477953
ENSG00000116641.18	62477562-62477962
ENSG00000116641.18	62477625-62478025
ENSG00000116641.18	62477634-62478034
ENSG00000116641.18	62487198-62487598
ENSG00000116641.18	62487212-62487612
ENSG00000116641.18	62487252-62487652
ENSG00000137955.16	75785997-75786397
ENSG00000137955.16	75786028-75786428
ENSG00000137955.16	75786031-75786431
ENSG00000137955.16	75786043-75786443
ENSG00000137955.16	75786056-75786456
ENSG00000137955.16	75786074-75786474
ENSG00000137955.16	75787296-75787696
ENSG00000137955.16	75787297-75787697
ENSG00000137955.16	75787323-75787723
ENSG00000137955.16	75787375-75787775
ENSG00000137955.16	75787404-75787804
ENSG00000117114.21	81936528-81936928
ENSG00000117114.21	81936637-81937037
ENSG00000117114.21	81941834-81942234
ENSG00000117114.21	81941845-81942245
ENSG00000117114.21	81942769-81943169
ENSG00000171603.18	9735685-9736085
ENSG00000171603.18	9735842-9736242
ENSG00000171603.18	9737298-9737698
ENSG00000171603.18	9737354-9737754
ENSG00000171603.18	9740894-9741294
ENSG00000171603.18	9741056-9741456
ENSG00000173915.16	103392083-103392483
ENSG00000173915.16	103392171-103392571
ENSG00000173915.16	103392266-103392666
ENSG00000173915.16	103396209-103396609
ENSG00000173915.16	103396266-103396666
ENSG00000173915.16	103396275-103396675
ENSG00000173915.16	103396292-103396692
ENSG00000065613.15	104007977-104008377
ENSG00000065613.15	104007998-104008398
ENSG00000065613.15	104008156-104008556
ENSG00000065613.15	104010616-104011016
ENSG00000065613.15	104010708-104011108
ENSG00000065613.15	104017960-104018360
ENSG00000065613.15	104018089-104018489
ENSG00000188690.15	125788715-125789115
ENSG00000188690.15	125788805-125789205
ENSG00000188690.15	125794680-125795080
ENSG00000188690.15	125794700-125795100
ENSG00000188690.15	125794702-125795102
ENSG00000188690.15	125794778-125795178
ENSG00000188690.15	125794862-125795262
ENSG00000148814.18	132351407-132351807
ENSG00000148814.18	132351553-132351953
ENSG00000148814.18	132355590-132355990
ENSG00000148814.18	132355686-132356086
ENSG00000152455.16	14878620-14879020
ENSG00000152455.16	14878648-14879048
ENSG00000152455.16	14878663-14879063
ENSG00000152455.16	14878666-14879066
ENSG00000152455.16	14878700-14879100
ENSG00000152455.16	14878719-14879119
ENSG00000152455.16	14878722-14879122
ENSG00000152455.16	14878760-14879160
ENSG00000152455.16	14896646-14897046
ENSG00000152455.16	14896777-14897177
ENSG00000078114.19	21172183-21172583
ENSG00000078114.19	21172252-21172652
ENSG00000078114.19	21172277-21172677
ENSG00000078114.19	21173565-21173965
ENSG00000078114.19	21173638-21174038
ENSG00000078114.19	21173693-21174093
ENSG00000078403.17	21538633-21539033
ENSG00000078403.17	21538712-21539112
ENSG00000078403.17	21538764-21539164
ENSG00000078403.17	21556443-21556843
ENSG00000078403.17	21556477-21556877
ENSG00000120549.18	24536574-24536974
ENSG00000120549.18	24536693-24537093
ENSG00000120549.18	24542307-24542707
ENSG00000120549.18	24542342-24542742
ENSG00000120549.18	24542493-24542893
ENSG00000120549.18	24542570-24542970
ENSG00000120549.18	24542683-24543083
ENSG00000120549.18	24544281-24544681
ENSG00000120549.18	24544781-24545181
ENSG00000120549.18	24544903-24545303
ENSG00000197321.16	29569055-29569455
ENSG00000197321.16	29569112-29569512
ENSG00000197321.16	29657769-29658169
ENSG00000197321.16	29657868-29658268
ENSG00000165322.18	31831539-31831939
ENSG00000165322.18	31831600-31832000
ENSG00000165322.18	31843261-31843661
ENSG00000165322.18	31843356-31843756
ENSG00000165322.18	31843386-31843786
ENSG00000165406.16	45461031-45461431
ENSG00000165406.16	45461187-45461587
ENSG00000165406.16	45461211-45461611
ENSG00000165406.16	45462951-45463351
ENSG00000165406.16	45463796-45464196
ENSG00000165406.16	45464039-45464439
ENSG00000165406.16	45464127-45464527
ENSG00000239883.9	45952923-45953323
ENSG00000239883.9	45953006-45953406
ENSG00000239883.9	45953134-45953534
ENSG00000239883.9	45953256-45953656
ENSG00000239883.9	45962611-45963011
ENSG00000239883.9	45962794-45963194
ENSG00000227345.9	49922136-49922536
ENSG00000227345.9	49922219-49922619
ENSG00000227345.9	49922347-49922747
ENSG00000227345.9	49922469-49922869
ENSG00000227345.9	49931900-49932300
ENSG00000227345.9	49932083-49932483
ENSG00000178440.8	49988550-49988950
ENSG00000178440.8	49988551-49988951
ENSG00000178440.8	49988699-49989099
ENSG00000178440.8	49988738-49989138
ENSG00000178440.8	49989108-49989508
ENSG00000178440.8	49989176-49989576
ENSG00000099290.17	50097475-50097875
ENSG00000099290.17	50097602-50098002
ENSG00000099290.17	50099778-50100178
ENSG00000099290.17	50099864-50100264
ENSG00000099290.17	50103842-50104242
ENSG00000099290.17	50103943-50104343
ENSG00000185532.20	51907307-51907707
ENSG00000185532.20	51907370-51907770
ENSG00000185532.20	52054284-52054684
ENSG00000185532.20	52054361-52054761
ENSG00000060339.14	68720944-68721344
ENSG00000060339.14	68720956-68721356
ENSG00000060339.14	68721016-68721416
ENSG00000060339.14	68721026-68721426
ENSG00000060339.14	68721027-68721427
ENSG00000060339.14	68721039-68721439
ENSG00000060339.14	68721042-68721442
ENSG00000060339.14	68721052-68721452
ENSG00000060339.14	68721055-68721455
ENSG00000060339.14	68721082-68721482
ENSG00000060339.14	68721088-68721488
ENSG00000060339.14	68721206-68721606
ENSG00000060339.14	68722255-68722655
ENSG00000060339.14	68722377-68722777
ENSG00000119943.13	98399902-98400302
ENSG00000119943.13	98400057-98400457
ENSG00000119943.13	98407382-98407782
ENSG00000119943.13	98407455-98407855
ENSG00000110321.19	10799409-10799809
ENSG00000110321.19	10799426-10799826
ENSG00000110321.19	10799556-10799956
ENSG00000110321.19	10799890-10800290
ENSG00000110321.19	10799892-10800292
ENSG00000110321.19	10799968-10800368
ENSG00000110321.19	10800044-10800444
ENSG00000110321.19	10800095-10800495
ENSG00000110321.19	10800148-10800548
ENSG00000110321.19	10800232-10800632
ENSG00000182985.18	115178444-115178844
ENSG00000182985.18	115178575-115178975
ENSG00000182985.18	115198206-115198606
ENSG00000182985.18	115198238-115198638
ENSG00000182985.18	115198240-115198640
ENSG00000137700.18	119029169-119029569
ENSG00000137700.18	119029187-119029587
ENSG00000137700.18	119029192-119029592
ENSG00000137700.18	119029364-119029764
ENSG00000137700.18	119029464-119029864
ENSG00000137700.18	119030535-119030935
ENSG00000137700.18	119030649-119031049
ENSG00000137700.18	119030663-119031063
ENSG00000137700.18	119030672-119031072
ENSG00000137700.18	119030680-119031080
ENSG00000137700.18	119030688-119031088
ENSG00000137700.18	119030689-119031089
ENSG00000137700.18	119030690-119031090
ENSG00000137700.18	119030706-119031106
ENSG00000154144.13	124625566-124625966
ENSG00000154144.13	124625703-124626103
ENSG00000154144.13	124626273-124626673
ENSG00000154144.13	124626409-124626809
ENSG00000149554.14	125625680-125626080
ENSG00000149554.14	125625774-125626174
ENSG00000149554.14	125625777-125626177
ENSG00000149554.14	125625793-125626193
ENSG00000149554.14	125625802-125626202
ENSG00000149554.14	125625805-125626205
ENSG00000149554.14	125625807-125626207
ENSG00000149554.14	125625812-125626212
ENSG00000149554.14	125625829-125626229
ENSG00000149554.14	125625834-125626234
ENSG00000149554.14	125626358-125626758
ENSG00000149554.14	125626375-125626775
ENSG00000149554.14	125626442-125626842
ENSG00000149554.14	125626549-125626949
ENSG00000149554.14	125626620-125627020
ENSG00000149554.14	125626633-125627033
ENSG00000151500.15	134252640-134253040
ENSG00000151500.15	134252716-134253116
ENSG00000151500.15	134253027-134253427
ENSG00000151500.15	134253048-134253448
ENSG00000151500.15	134253099-134253499
ENSG00000151500.15	134253101-134253501
ENSG00000151500.15	134253148-134253548
ENSG00000151500.15	134253150-134253550
ENSG00000151500.15	134253152-134253552
ENSG00000151500.15	134253153-134253553
ENSG00000151500.15	134253170-134253570
ENSG00000230724.9	134596-134996
ENSG00000230724.9	134690-135090
ENSG00000230724.9	134747-135147
ENSG00000230724.9	134975-135375
ENSG00000230724.9	137847-138247
ENSG00000230724.9	137911-138311
ENSG00000167244.21	2135167-2135567
ENSG00000167244.21	2135329-2135729
ENSG00000167244.21	2138029-2138429
ENSG00000166199.13	43891841-43892241
ENSG00000166199.13	43891929-43892329
ENSG00000166199.13	43901316-43901716
ENSG00000166199.13	43901344-43901744
ENSG00000166199.13	43901514-43901914
ENSG00000110497.15	46512527-46512927
ENSG00000110497.15	46512613-46513013
ENSG00000110497.15	46541745-46542145
ENSG00000123444.14	47577824-47578224
ENSG00000123444.14	47577828-47578228
ENSG00000123444.14	47577855-47578255
ENSG00000123444.14	47577877-47578277
ENSG00000123444.14	47578485-47578885
ENSG00000123444.14	47578568-47578968
ENSG00000123444.14	47578589-47578989
ENSG00000123444.14	47578628-47579028
ENSG00000123444.14	47578712-47579112
ENSG00000123444.14	47578733-47579133
ENSG00000123444.14	47578739-47579139
ENSG00000123444.14	47578747-47579147
ENSG00000123444.14	47578756-47579156
ENSG00000123444.14	47578769-47579169
ENSG00000123444.14	47578770-47579170
ENSG00000123444.14	47578773-47579173
ENSG00000123444.14	47578776-47579176
ENSG00000123444.14	47578829-47579229
ENSG00000123444.14	47578840-47579240
ENSG00000123444.14	47578872-47579272
ENSG00000123444.14	47578874-47579274
ENSG00000123444.14	47578885-47579285
ENSG00000123444.14	47578899-47579299
ENSG00000123444.14	47578923-47579323
ENSG00000123444.14	47578928-47579328
ENSG00000023191.17	501862-502262
ENSG00000023191.17	501937-502337
ENSG00000023191.17	501981-502381
ENSG00000023191.17	502014-502414
ENSG00000023191.17	502015-502415
ENSG00000023191.17	502049-502449
ENSG00000023191.17	504624-505024
ENSG00000023191.17	504688-505088
ENSG00000023191.17	504796-505196
ENSG00000288534.1	57805682-57806082
ENSG00000288534.1	57805835-57806235
ENSG00000288534.1	57806715-57807115
ENSG00000288534.1	57806783-57807183
ENSG00000166900.17	59795172-59795572
ENSG00000166900.17	59795282-59795682
ENSG00000166900.17	59795402-59795802
ENSG00000166900.17	59797083-59797483
ENSG00000166900.17	59797166-59797566
ENSG00000166900.17	59797196-59797596
ENSG00000166900.17	59800655-59801055
ENSG00000166900.17	59800762-59801162
ENSG00000011347.10	61532789-61533189
ENSG00000011347.10	61532903-61533303
ENSG00000011347.10	61532924-61533324
ENSG00000011347.10	61545831-61546231
ENSG00000011347.10	61546977-61547377
ENSG00000011347.10	61547108-61547508
ENSG00000011347.10	61551184-61551584
ENSG00000011347.10	61551263-61551663
ENSG00000175334.8	66002280-66002680
ENSG00000175334.8	66002303-66002703
ENSG00000175334.8	66002313-66002713
ENSG00000175334.8	66002370-66002770
ENSG00000175334.8	66002381-66002781
ENSG00000175334.8	66002839-66003239
ENSG00000175334.8	66002870-66003270
ENSG00000175334.8	66003035-66003435
ENSG00000175334.8	66003036-66003436
ENSG00000175334.8	66003129-66003529
ENSG00000175334.8	66003135-66003535
ENSG00000175334.8	66003173-66003573
ENSG00000162341.18	69078692-69079092
ENSG00000162341.18	69078820-69079220
ENSG00000162341.18	69079634-69080034
ENSG00000162341.18	69079647-69080047
ENSG00000162341.18	69079683-69080083
ENSG00000162341.18	69081200-69081600
ENSG00000162341.18	69081299-69081699
ENSG00000085733.16	70420186-70420586
ENSG00000085733.16	70420200-70420600
ENSG00000085733.16	70420310-70420710
ENSG00000085733.16	70421270-70421670
ENSG00000085733.16	70421380-70421780
ENSG00000085733.16	70421396-70421796
ENSG00000085733.16	70422740-70423140
ENSG00000085733.16	70422795-70423195
ENSG00000166394.15	7672548-7672948
ENSG00000166394.15	7672606-7673006
ENSG00000166394.15	7672690-7673090
ENSG00000166394.15	7672691-7673091
ENSG00000166394.15	7673752-7674152
ENSG00000166394.15	7673912-7674312
ENSG00000166394.15	7674008-7674408
ENSG00000166394.15	7674011-7674411
ENSG00000166394.15	7674018-7674418
ENSG00000166394.15	7674026-7674426
ENSG00000166394.15	7674043-7674443
ENSG00000073921.18	85976423-85976823
ENSG00000073921.18	85976449-85976849
ENSG00000073921.18	85976482-85976882
ENSG00000073921.18	85977870-85978270
ENSG00000073921.18	85977893-85978293
ENSG00000073921.18	85980929-85981329
ENSG00000073921.18	85980984-85981384
ENSG00000073921.18	85981028-85981428
ENSG00000149231.16	96387330-96387730
ENSG00000149231.16	96387413-96387813
ENSG00000149231.16	96387453-96387853
ENSG00000149231.16	96389566-96389966
ENSG00000149231.16	96389579-96389979
ENSG00000149231.16	96389616-96390016
ENSG00000149231.16	96389644-96390044
ENSG00000149231.16	96389665-96390065
ENSG00000149231.16	96389668-96390068
ENSG00000149231.16	96389680-96390080
ENSG00000149231.16	96389687-96390087
ENSG00000149231.16	96389691-96390091
ENSG00000149231.16	96389695-96390095
ENSG00000149231.16	96389703-96390103
ENSG00000149231.16	96389705-96390105
ENSG00000149231.16	96389712-96390112
ENSG00000149231.16	96389717-96390117
ENSG00000149231.16	96389719-96390119
ENSG00000149231.16	96389721-96390121
ENSG00000149231.16	96389722-96390122
ENSG00000149231.16	96389723-96390123
ENSG00000149231.16	96389729-96390129
ENSG00000149231.16	96389733-96390133
ENSG00000149231.16	96389736-96390136
ENSG00000149231.16	96389748-96390148
ENSG00000149231.16	96389756-96390156
ENSG00000149231.16	96389789-96390189
ENSG00000149231.16	96389813-96390213
ENSG00000089009.16	112408456-112408856
ENSG00000089009.16	112409111-112409511
ENSG00000089009.16	112409211-112409611
ENSG00000089009.16	112409293-112409693
ENSG00000089009.16	112409374-112409774
ENSG00000089009.16	112409387-112409787
ENSG00000089009.16	112409393-112409793
ENSG00000089009.16	112409396-112409796
ENSG00000089009.16	112409405-112409805
ENSG00000089009.16	112409414-112409814
ENSG00000089009.16	112409435-112409835
ENSG00000130779.22	122341497-122341897
ENSG00000130779.22	122347175-122347575
ENSG00000130779.22	122347279-122347679
ENSG00000130779.22	122352526-122352926
ENSG00000130779.22	122352586-122352986
ENSG00000196498.13	124372260-124372660
ENSG00000196498.13	124372410-124372810
ENSG00000196498.13	124374213-124374613
ENSG00000196498.13	124374263-124374663
ENSG00000196498.13	124378037-124378437
ENSG00000196498.13	124378184-124378584
ENSG00000150991.16	124912835-124913235
ENSG00000150991.16	124913067-124913467
ENSG00000150991.16	124913090-124913490
ENSG00000150991.16	124913106-124913506
ENSG00000133703.14	25209711-25210111
ENSG00000133703.14	25215237-25215637
ENSG00000133703.14	25215360-25215760
ENSG00000133703.14	25225414-25225814
ENSG00000133703.14	25225465-25225865
ENSG00000133703.14	25225573-25225973
ENSG00000123106.11	28190244-28190644
ENSG00000123106.11	28190246-28190646
ENSG00000123106.11	28190256-28190656
ENSG00000123106.11	28190266-28190666
ENSG00000123106.11	28190441-28190841
ENSG00000123106.11	28190538-28190938
ENSG00000123106.11	28257000-28257400
ENSG00000123106.11	28257002-28257402
ENSG00000123106.11	28257045-28257445
ENSG00000073614.13	285462-285862
ENSG00000073614.13	285926-286326
ENSG00000073614.13	286007-286407
ENSG00000073614.13	292559-292959
ENSG00000073614.13	292725-293125
ENSG00000139116.19	39311215-39311615
ENSG00000139116.19	39311217-39311617
ENSG00000139116.19	39311353-39311753
ENSG00000139116.19	39317873-39318273
ENSG00000139116.19	39318001-39318401
ENSG00000139116.19	39319706-39320106
ENSG00000139116.19	39319790-39320190
ENSG00000139116.19	39319813-39320213
ENSG00000139116.19	39326064-39326464
ENSG00000139116.19	39326124-39326524
ENSG00000139116.19	39329852-39330252
ENSG00000139116.19	39330042-39330442
ENSG00000139116.19	39330062-39330462
ENSG00000139116.19	39330546-39330946
ENSG00000139116.19	39330711-39331111
ENSG00000173157.18	43466452-43466852
ENSG00000173157.18	43466595-43466995
ENSG00000173157.18	43468400-43468800
ENSG00000173157.18	43468505-43468905
ENSG00000173157.18	43490195-43490595
ENSG00000173157.18	43490235-43490635
ENSG00000173157.18	43492305-43492705
ENSG00000173157.18	43492429-43492829
ENSG00000135451.13	49323645-49324045
ENSG00000135451.13	49323746-49324146
ENSG00000135451.13	49323837-49324237
ENSG00000135451.13	49323947-49324347
ENSG00000135451.13	49323955-49324355
ENSG00000135451.13	49324012-49324412
ENSG00000135451.13	49324031-49324431
ENSG00000135451.13	49325253-49325653
ENSG00000135451.13	49325301-49325701
ENSG00000135451.13	49325305-49325705
ENSG00000135451.13	49325360-49325760
ENSG00000135451.13	49325458-49325858
ENSG00000111540.16	55973800-55974200
ENSG00000111540.16	55973874-55974274
ENSG00000111540.16	55973878-55974278
ENSG00000111540.16	55973884-55974284
ENSG00000111540.16	55973897-55974297
ENSG00000111540.16	55973901-55974301
ENSG00000111540.16	55973939-55974339
ENSG00000111540.16	55986669-55987069
ENSG00000111540.16	55986761-55987161
ENSG00000139531.13	55996980-55997380
ENSG00000139531.13	55997059-55997459
ENSG00000139531.13	55997076-55997476
ENSG00000139531.13	55997087-55997487
ENSG00000139531.13	55997088-55997488
ENSG00000139531.13	55997089-55997489
ENSG00000139531.13	55997096-55997496
ENSG00000139531.13	55997098-55997498
ENSG00000139531.13	55997118-55997518
ENSG00000139531.13	55997119-55997519
ENSG00000139531.13	55997130-55997530
ENSG00000139531.13	55997139-55997539
ENSG00000139531.13	56002012-56002412
ENSG00000139531.13	56002014-56002414
ENSG00000139531.13	56002071-56002471
ENSG00000135506.16	57718793-57719193
ENSG00000135506.16	57718861-57719261
ENSG00000135506.16	57718982-57719382
