gene	flanks	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac	A1CF	ANKHD1	BRUNOL4	BRUNOL5	BRUNOL6	CNOT4	CPEB2	CPEB4	DAZAP1	ENOX1	ESRP2	FMR1	FUS	FXR1	FXR2	G3BP2	HNRNPA1	HNRNPA1L2	HNRNPA2B1	HNRNPC	HNRNPCL1	HNRNPF	HNRNPH1	HNRNPH2	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HNRPLL	HuR	IGF2BP2	IGF2BP3	KHDRBS1	KHDRBS2	KHDRBS3	LIN28A	MATR3	MBNL1	MSI1	PABPC1	PABPC3	PABPC4	PABPC5	PABPN1	PCBP1	PCBP2	PPRC1	PTBP1	PUM2	QKI	RALY	RBFOX1	RBM24	RBM28	RBM3	RBM4	RBM41	RBM42	RBM45	RBM46	RBM5	RBM6	RBM8A	RBMS1	RBMS3	SAMD4A	SART3	SFPQ	SNRNP70	SNRPA	SRSF1	SRSF10	SRSF2	SRSF7	SRSF9	TARDBP	TIA1	TUT1	U2AF2	YBX1	YBX2	ZC3H10	ZC3H14	ZCRB1	ZNF638
STAG3L5P-PVRIG2P-PILRB	100353283-100353683	-0.3401	0.0	0.0	0.0	0.0	1.0	1.0	2.67e-07	1.14e-07	3.29e-06	0.0166	1.0	1.0	0.0458	0.00497	0.000256	1.0	1.0	1.0	1.0	1.0	0.000489	0.00049	0.00118	1.0	1.0	0.000334	0.00219	0.0018	1.0	1.0	0.000287	1.0	1.0	0.0287	1.0	1.0	1.0	1.0	1.0	0.00455	1.0	0.000942	1.0	1.0	1.0	1.0	1.0	1.0	0.00419	1.0	1.0	0.000675	1.0	1.0	1.0	1.0	7.25e-07	1.0	1.0	1.0	1.0	0.00404	1.0	1.0	0.0172	0.00633	1.0	1.0	1.0	0.0174	1.0	1.0	1.0	1.0	0.0128	0.0057	0.00195	1.0	9.5e-05	1.44e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000942
STAG3L5P-PVRIG2P-PILRB	100353812-100354212	0.3507	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.00399	0.000223	1.0	1.0	0.00813	0.000128	0.000115	0.000523	0.0373	1.0	0.00411	0.00182	0.00127	0.0156	0.00215	1.0	1.0	0.000113	0.0322	0.00112	1.0	0.000543	0.000508	1.0	0.000923	1.0	0.00161	0.00491	0.0182	0.0299	0.0107	0.0496	1.0	0.0193	0.00209	0.000797	0.0033	0.000286	0.000822	0.00383	1.0	1.0	1.0	0.0363	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0375	1.0	0.00141	0.0171	1.0	0.000617	1.0	0.0235	0.000227	0.000356	0.00655	0.000797	1.0	0.000416	1.0	0.000104	0.00269	0.00112	0.00379	0.00142	0.0109	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00787
STAG3L5P-PVRIG2P-PILRB	100354943-100355343	0.3507	0.0	0.0	0.0	0.0	1.0	1.0	0.000221	0.000233	0.0242	0.0246	0.00182	0.000648	1.0	0.00519	0.0114	0.022	1.0	1.0	1.0	1.0	0.0108	0.0206	0.0139	0.000655	0.000661	1.0	1.0	1.0	1.0	0.0349	0.00048	0.00433	0.0167	4.18e-05	1.0	0.0366	0.00114	0.00392	0.00391	1.0	1.0	0.00621	1.0	1.0	0.00776	0.00431	0.0372	0.0101	1.0	1.0	1.0	0.000525	0.00405	1.0	0.000334	0.00141	0.000318	1.0	1.0	1.0	0.00611	1.0	1.0	0.014	1.0	1.0	1.0	0.000706	0.00102	0.00254	1.0	1.0	1.0	1.0	0.00845	1.0	0.00122	0.00241	1.0	0.00161	0.000444	1.0	0.000137	0.0496	0.0496	1.0	2.54e-05	0.0474	0.000179
STAG3L5P-PVRIG2P-PILRB	100353720-100354120	0.3507	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.00399	0.000223	1.0	1.0	0.00813	0.000128	0.000115	0.000523	0.0373	1.0	0.00411	0.00182	0.00127	0.0156	0.00215	1.0	1.0	0.000113	0.0322	0.00112	0.0143	0.000543	0.000508	1.0	0.000923	1.0	0.00161	0.00491	1.0	1.0	0.0107	1.0	1.0	0.00639	0.00209	1.0	0.026	1.0	0.00662	0.00383	0.000765	0.000483	1.0	0.0114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0375	1.0	1.0	0.0171	1.0	0.000617	1.0	0.0235	0.000227	0.000356	0.00226	1.0	1.0	0.000416	1.0	0.000104	0.00747	0.00112	0.00379	0.00142	0.0109	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00787
STAG3L5P-PVRIG2P-PILRB	100355040-100355440	0.3507	0.0	0.0	0.0	0.0	1.0	1.0	0.000347	0.000243	1.0	0.0246	0.00182	0.000648	1.0	0.00519	0.0114	0.022	1.0	1.0	1.0	1.0	0.0108	0.0206	0.0139	0.000655	0.000661	1.0	1.0	1.0	1.0	0.0349	0.00048	1.0	0.0167	4.18e-05	1.0	0.0366	0.00114	0.00392	0.00391	0.0101	1.0	0.00621	1.0	1.0	0.0312	0.00431	0.0372	0.0101	1.0	1.0	1.0	0.000525	0.00405	1.0	0.000334	0.00141	0.00436	1.0	1.0	1.0	0.00611	1.0	1.0	0.014	1.0	1.0	1.0	0.000706	0.00102	0.00254	1.0	1.0	1.0	0.0145	0.00845	1.0	0.00122	0.00241	1.0	0.00941	0.000444	1.0	0.000137	0.0496	0.0496	1.0	2.54e-05	0.015	0.000179
STAG3L5P-PVRIG2P-PILRB	100353173-100353573	-0.3401	0.0	0.0	0.0	0.0	0.0199	1.0	2.67e-07	1.14e-07	3.29e-06	0.043	1.0	1.0	0.0458	0.00497	0.000794	1.0	1.0	1.0	1.0	1.0	0.000489	0.00049	0.00118	1.0	1.0	0.000334	0.00219	0.0018	0.00336	1.0	0.000287	1.0	1.0	0.0287	1.0	1.0	1.0	1.0	1.0	0.00455	1.0	0.000942	1.0	1.0	1.0	1.0	1.0	1.0	6.05e-05	0.000369	1.0	0.000675	1.0	1.0	1.0	1.0	7.25e-07	1.0	1.0	1.0	1.0	0.00404	1.0	1.0	0.0172	0.00633	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0128	0.00207	0.00562	0.00187	9.5e-05	1.44e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000942
STAG3L5P-PVRIG2P-PILRB	100353695-100354095	0.3507	0.0	0.0	0.0	0.0	1.0	1.0	0.0443	0.0434	1.0	0.00745	0.00537	0.00676	1.0	0.00519	0.0114	1.0	1.0	0.0459	1.0	1.0	0.0108	0.0206	0.0139	0.00422	0.00415	1.0	1.0	1.0	1.0	0.0349	1.0	1.0	0.0167	0.00229	1.0	1.0	0.0465	1.0	1.0	0.00809	1.0	0.00621	1.0	1.0	0.0312	0.00431	0.0372	0.0101	1.0	1.0	1.0	0.000525	0.0188	1.0	0.00507	0.00141	1.0	1.0	1.0	1.0	0.00611	1.0	1.0	1.0	0.0189	1.0	1.0	0.00239	0.00298	0.00254	1.0	1.0	1.0	0.0145	0.00845	1.0	0.00122	0.00241	0.0211	0.0232	0.00674	1.0	0.00227	0.00453	0.0496	1.0	0.00103	0.012	1.0
NCALD	101719421-101719821	-0.473	0.0	0.0	0.0	0.0	1.0	1.0	0.000221	0.000233	0.0242	0.0246	0.00182	0.000648	1.0	0.00519	0.0114	0.022	1.0	1.0	1.0	1.0	0.0108	0.0206	0.0139	0.000655	0.000661	1.0	1.0	1.0	1.0	0.0349	0.00048	0.00433	0.0167	4.18e-05	1.0	0.0366	0.00114	0.00392	0.00391	1.0	0.00809	0.00341	1.0	1.0	0.00776	0.00431	0.0372	0.0101	1.0	1.0	1.0	0.000525	0.00405	1.0	0.000334	0.00141	0.000318	1.0	1.0	1.0	0.00611	1.0	1.0	0.014	1.0	1.0	1.0	0.000706	0.00102	0.00254	1.0	1.0	1.0	1.0	0.00845	1.0	0.00122	0.00241	1.0	0.00161	0.000444	0.0118	0.000137	0.0496	0.0496	1.0	2.54e-05	0.0474	0.000179
NCALD	101719448-101719848	-0.473	0.0	0.0	0.0	0.0	1.0	1.0	0.00019	0.000119	0.000657	1.0	1.0	1.0	1.0	1.0	0.00442	1.0	0.00241	1.0	1.0	1.0	0.00356	0.0243	0.00314	1.0	1.0	0.000739	0.00118	0.000108	0.00561	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0129	1.0	0.00046	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000687	0.00135	0.0114	1.0	1.0	1.0	1.0	0.000836	1.0	1.0	0.00105	1.0	1.0	0.0117	1.0	1.0	1.0	0.000714	1.0	1.0	0.00101	1.0	1.0	1.0	1.0	0.00155	0.0327	4.63e-05	0.00147	0.0179	6.51e-05	1.0	1.0	1.0	1.0	1.0	0.000127	1.0	1.0	1.0
NCALD	101790662-101791062	-0.473	-4.70845	0.0	0.0	-2.92637	0.0252	1.0	0.000898	0.00228	0.0105	1.0	0.00604	0.0104	1.0	0.0219	0.00264	0.0401	1.0	0.0161	0.00597	0.0176	0.000645	1.0	0.00517	0.0122	0.0162	0.00156	1.0	0.000298	0.0279	0.00399	1.0	0.0127	0.0499	0.0497	0.0137	0.0112	0.000347	0.0017	0.000434	1.0	0.00404	0.000942	1.0	0.000444	5.86e-05	0.000439	0.00151	0.00333	0.000532	0.00642	1.0	0.00359	0.0173	1.0	0.0242	1.0	0.00129	0.00311	1.0	1.0	0.0013	1.0	1.0	0.0194	1.0	0.00123	1.0	1.0	0.0311	0.0127	0.000444	1.0	1.0	1.0	0.00565	0.0129	0.0088	0.0252	1.0	0.00177	0.0305	0.00954	0.0106	0.000107	0.00191	0.0447	0.0137	0.00185	0.00407
NCALD	101719383-101719783	-0.473	0.0	0.0	0.0	0.0	1.0	1.0	0.000347	0.000243	1.0	0.0246	0.00182	0.000648	1.0	0.00519	0.0114	0.022	1.0	1.0	1.0	1.0	0.0108	0.0206	0.0139	0.000655	0.000661	1.0	1.0	1.0	1.0	0.0349	0.00048	1.0	0.0167	4.18e-05	1.0	0.0366	0.00114	0.00392	0.00391	0.0101	1.0	0.00621	1.0	1.0	0.0312	0.00431	0.0372	0.0101	1.0	1.0	1.0	0.000525	0.00405	1.0	0.000334	0.00141	0.00436	1.0	1.0	1.0	0.00611	1.0	1.0	0.014	1.0	1.0	1.0	0.000706	0.00102	0.00254	1.0	1.0	1.0	0.0145	0.00845	1.0	0.00122	0.00241	1.0	0.00941	0.000444	1.0	0.000137	0.0496	0.0496	1.0	2.54e-05	0.0474	0.000179
NCALD	101719387-101719787	-0.473	0.0	0.0	0.0	0.0	1.0	1.0	0.00019	0.000119	0.000657	1.0	1.0	1.0	1.0	1.0	0.00442	1.0	0.00241	1.0	1.0	1.0	0.00356	1.0	1.0	1.0	1.0	0.000739	0.00118	0.000612	0.00909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0129	1.0	0.00046	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000687	0.00135	0.0114	1.0	1.0	1.0	1.0	0.000836	0.00672	1.0	0.00105	1.0	1.0	0.0117	1.0	1.0	1.0	0.000714	1.0	1.0	0.00101	1.0	1.0	1.0	1.0	0.00155	0.0327	4.63e-05	0.00147	1.0	6.51e-05	1.0	1.0	1.0	1.0	1.0	0.000127	1.0	1.0	1.0
NCALD	101790734-101791134	-0.473	-4.70845	0.0	0.0	-2.92637	0.00247	0.00474	0.02	0.0234	1.0	2.18e-05	0.0087	0.00189	4.89e-05	0.000757	1.0	0.0492	1.0	0.0296	1.0	1.0	0.0067	1.0	1.0	0.00323	0.00404	0.0385	1.0	1.0	1.0	6.46e-08	0.0148	1.0	1.58e-08	0.000452	3.17e-05	1.28e-05	1.0	1.0	1.0	1.0	0.00778	2.8e-05	8.42e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.16e-05	0.000555	1.0	0.00469	1.0	0.00526	1.0	1.0	1.0	0.00152	1.0	0.0446	1.0	1.0	1.0	1.0	1.15e-05	0.00017	1.0	1.0	1.0	0.00501	0.00118	0.000503	1.0	4.42e-06	0.00916	1.0	0.00967	0.00373	1.0	0.00264	0.0037	1.0	1.0	0.00145	0.0234	0.00557
NCALD	101790747-101791147	-0.473	-4.70845	0.0	0.0	-3.14702	0.00247	0.00474	0.00168	0.000293	0.00289	2.18e-05	0.0087	0.00189	4.89e-05	0.000757	1.0	0.0492	1.0	0.0296	1.0	1.0	0.0067	1.0	1.0	0.00323	0.00404	0.0385	1.0	1.0	1.0	6.46e-08	0.0148	1.0	1.58e-08	0.000452	3.17e-05	1.28e-05	1.0	1.0	1.0	1.0	0.00778	2.8e-05	8.42e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.16e-05	0.000555	1.0	0.00469	1.0	0.00252	1.0	1.0	1.0	0.00152	1.0	0.0446	1.0	1.0	1.0	1.0	1.15e-05	0.00017	1.0	1.0	1.0	0.00585	0.00118	0.000503	1.0	4.42e-06	0.00916	1.0	9.77e-05	0.00373	1.0	0.00264	0.0037	1.0	1.0	0.00145	0.0234	0.000724
NCALD	101790758-101791158	-0.473	-4.70845	0.0	0.0	-3.14702	0.0252	1.0	0.000898	0.00228	0.0105	1.0	0.00604	0.0104	1.0	0.0219	0.00264	0.0401	1.0	1.0	0.00597	0.0176	0.000645	1.0	0.00517	0.0122	0.0162	0.00156	0.0287	0.000298	0.0279	0.00399	1.0	0.0127	0.0499	0.0497	0.0137	0.0112	0.000347	0.0017	0.000434	1.0	0.00404	0.00657	0.0394	0.000444	5.86e-05	0.000439	0.00151	0.00333	1.0	1.0	1.0	0.00359	0.0173	1.0	0.0242	1.0	0.00129	0.00311	1.0	1.0	0.0163	1.0	1.0	0.0194	0.0256	0.00123	1.0	1.0	0.0311	0.0127	0.000444	1.0	0.022	1.0	0.000865	0.0129	0.0141	0.0252	1.0	0.00177	0.0305	0.00954	0.0106	0.000107	0.00191	0.0447	0.0137	0.00185	0.00407
NCALD	101719273-101719673	-0.473	0.0	0.0	0.0	0.0	1.0	1.0	0.00019	0.000119	0.000657	1.0	1.0	1.0	1.0	1.0	0.00442	1.0	0.0029	1.0	1.0	1.0	0.00356	1.0	1.0	1.0	1.0	0.000739	0.00118	0.000612	0.0244	1.0	0.0174	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0129	1.0	0.00046	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00342	1.0	1.0	1.0	1.0	1.0	0.000836	0.00672	1.0	0.00105	1.0	1.0	0.0117	1.0	1.0	1.0	0.000714	1.0	1.0	0.00101	1.0	1.0	1.0	1.0	0.00155	0.0327	4.63e-05	0.00147	1.0	6.51e-05	1.0	1.0	1.0	1.0	1.0	0.00141	1.0	1.0	1.0
NCALD	101790769-101791169	-0.473	-4.70845	0.0	0.0	-3.14702	0.00247	0.00474	0.00168	0.000293	0.00289	2.18e-05	0.0087	0.00189	4.89e-05	0.000757	1.0	0.0492	1.0	0.0296	1.0	1.0	0.0067	1.0	1.0	0.00323	0.00404	0.0219	1.0	1.0	1.0	6.46e-08	0.0148	1.0	1.58e-08	0.000452	3.17e-05	1.28e-05	1.0	1.0	1.0	1.0	0.00778	2.8e-05	8.42e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.16e-05	0.000555	1.0	0.00469	1.0	0.00252	1.0	1.0	1.0	0.00152	1.0	0.0446	1.0	1.0	1.0	1.0	1.15e-05	0.00017	1.0	1.0	0.0138	1.0	0.00118	0.000503	1.0	4.42e-06	0.00916	1.0	9.77e-05	0.00373	1.0	0.00264	0.0037	1.0	1.0	0.00145	0.0234	0.000724
NCALD	101790777-101791177	-0.473	-4.70845	0.0	0.0	-3.14702	0.0489	1.0	1.0	1.0	1.0	1.0	0.000439	0.000687	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00395	1.0	1.0	0.0039	0.00404	0.0236	0.0099	1.0	1.0	1.0	1.0	0.0401	1.0	1.0	1.0	1.0	0.0191	1.0	0.0456	1.0	0.00344	0.000547	1.0	0.0488	0.0188	0.0156	1.0	1.0	1.0	0.00402	1.0	0.000184	1.0	0.0109	0.00282	0.00644	1.0	1.0	1.0	1.0	0.00476	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0478	1.0	1.0	1.0	0.0128	1.0	0.00407	0.0183	1.0	0.00941	0.00231	1.0	0.00304	0.00197	1.0	1.0	0.00687	0.00293	0.022
NXPE3	101779124-101779524	-0.5545	0.08593	0.0	0.0	1.16682	0.000395	1.0	0.000747	0.000577	0.00399	1.0	0.0011	0.000666	0.00149	1.0	1.0	1.0	1.0	0.00921	1.0	1.0	0.0297	1.0	1.0	0.000675	0.000794	1.0	1.0	1.0	1.0	1.0	1.0	0.00271	1.0	0.000775	1.0	1.0	0.00222	0.005	0.00728	1.0	0.00068	0.0109	0.00904	0.000444	0.00168	0.000154	0.000961	0.000904	0.0249	0.0214	1.0	0.000184	0.000288	1.0	0.000739	0.0461	1.0	1.0	1.0	1.0	4.32e-05	0.0292	1.0	0.0357	0.0272	1.0	1.0	0.00184	0.0011	1.0	0.00043	1.0	1.0	1.0	1.0	1.0	1.0	0.00379	0.0169	0.000213	0.000797	1.0	0.000984	1.0	1.0	1.0	0.000266	0.000417	1.0
