flanks	gene_id	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac
203795423-203795823	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795454-203795854	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795460-203795860	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795471-203795871	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795486-203795886	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795495-203795895	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795499-203795899	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795506-203795906	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795514-203795914	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795575-203795975	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203795594-203795994	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203796093-203796493	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203796251-203796651	ENSG00000058673.17	0.2944	-0.25864	0.0	0.0	-0.42868
203801375-203801775	ENSG00000058673.17	-0.2961				
203801428-203801828	ENSG00000058673.17	-0.2961				
205343398-205343798	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343489-205343889	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343498-205343898	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343593-205343993	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343934-205344334	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343982-205344382	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205343996-205344396	ENSG00000162873.15	0.4916	-0.23224	0.13749	0.0	0.0
205356333-205356733	ENSG00000162873.15	-0.5204	-2.43979	0.0	0.0	-2.30571
205356369-205356769	ENSG00000162873.15	-0.5204	-2.43979	0.0	0.0	-2.30571
205356378-205356778	ENSG00000162873.15	-0.5204	-2.43979	0.0	0.0	-2.30571
21289870-21290270	ENSG00000117298.16	0.3275	-0.1852	-0.82509	0.0	1.60644
21289956-21290356	ENSG00000117298.16	0.3275	-0.1852	0.0	0.0	1.60644
21290057-21290457	ENSG00000117298.16	0.3275	-0.1852	0.0	0.0	1.60644
21290164-21290564	ENSG00000117298.16	0.3275	-0.1852	-1.40678	0.0	1.60644
21290263-21290663	ENSG00000117298.16	0.3275	-0.1852	-1.40678	0.0	1.60644
21290264-21290664	ENSG00000117298.16	0.3275	-0.1852	-1.40678	0.0	1.60644
21345176-21345576	ENSG00000117298.16	-0.3217	-0.22126	0.42324	0.0	0.32269
21345304-21345704	ENSG00000117298.16	-0.3217	-0.22126	0.0	0.0	0.53635
21345372-21345772	ENSG00000117298.16	-0.3217	-0.22126	0.0	0.0	0.53635
26302613-26303013	ENSG00000158062.21	0.4747				
26302718-26303118	ENSG00000158062.21	0.4747				
26302816-26303216	ENSG00000158062.21	0.4747				
26302843-26303243	ENSG00000158062.21	0.4747				
26302967-26303367	ENSG00000158062.21	0.4747				
26306376-26306776	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306392-26306792	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306409-26306809	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306420-26306820	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306432-26306832	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306433-26306833	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306436-26306836	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306440-26306840	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306445-26306845	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	-0.73564
26306504-26306904	ENSG00000158062.21	-0.5266	-0.19607	0.0	0.0	0.0
28914369-28914769	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914372-28914772	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914374-28914774	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914401-28914801	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914426-28914826	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914568-28914968	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28914573-28914973	ENSG00000159023.22	-0.2687	0.36037	0.0	0.0	-0.86261
28987231-28987631	ENSG00000159023.22	-0.2687				
28987248-28987648	ENSG00000159023.22	-0.2687				
28987298-28987698	ENSG00000159023.22	-0.2687				
28987311-28987711	ENSG00000159023.22	-0.2687				
28987411-28987811	ENSG00000159023.22	-0.2687				
29064782-29065182	ENSG00000159023.22	0.282				
29064958-29065358	ENSG00000159023.22	0.282				
29064963-29065363	ENSG00000159023.22	0.282				
29065021-29065421	ENSG00000159023.22	0.282				
29095955-29096355	ENSG00000159023.22	0.282	0.0	0.0	0.0	-1.84111
29096032-29096432	ENSG00000159023.22	0.282	0.0	0.0	0.0	-1.84111
29096404-29096804	ENSG00000159023.22	0.5382	0.0	0.0	0.0	-1.84111
29097607-29098007	ENSG00000159023.22	0.5382				
29097649-29098049	ENSG00000159023.22	0.5382				
29097704-29098104	ENSG00000159023.22	0.5382				
29097735-29098135	ENSG00000159023.22	0.5382				
39158664-39159064	ENSG00000127603.32	0.3229	0.06099	0.0	0.0	0.44345
39158820-39159220	ENSG00000127603.32	0.3229	0.06099	0.0	0.0	0.44345
39230982-39231382	ENSG00000127603.32	0.3229	1.68469	0.0	0.0	2.07882
39231043-39231443	ENSG00000127603.32	0.3229	0.0	0.0	0.0	2.07882
39463412-39463812	ENSG00000127603.32	0.4723	0.0	-0.01617	0.0	0.0
39463486-39463886	ENSG00000127603.32	0.4723	0.0	-0.01617	0.0	0.0
39464709-39465109	ENSG00000127603.32	0.4723				
39464895-39465295	ENSG00000127603.32	0.4786				
39464912-39465312	ENSG00000127603.32	0.4786				
39468393-39468793	ENSG00000127603.32	0.4786				
39468415-39468815	ENSG00000127603.32	0.4786				
39468443-39468843	ENSG00000127603.32	0.4786				
39468532-39468932	ENSG00000127603.32	0.4786				
40315265-40315665	ENSG00000049089.15	0.6957	-0.4641	2.07224	0.0	-2.46942
40315390-40315790	ENSG00000049089.15	0.6957	-0.4641	0.54341	0.0	-2.46942
40315460-40315860	ENSG00000049089.15	0.6957	-0.4641	0.54341	0.0	-2.46942
40315464-40315864	ENSG00000049089.15	0.6957	-0.4641	0.54341	0.0	-2.46942
40315645-40316045	ENSG00000049089.15	0.6957	-0.4641	0.54341	0.0	-2.46942
40315835-40316235	ENSG00000049089.15	0.6957	-0.4641	0.54341	0.0	0.0
40316923-40317323	ENSG00000049089.15	-0.7019	-0.4641	0.54341	0.0	0.0
40317067-40317467	ENSG00000049089.15	-0.7019	-0.4641	0.54341	0.0	0.0
40317073-40317473	ENSG00000049089.15	-0.7019	-0.4641	0.54341	0.0	0.0
40317086-40317486	ENSG00000049089.15	-0.7019	-0.4641	0.54341	0.0	0.0
40317109-40317509	ENSG00000049089.15	-0.7019	-0.4641	0.54341	0.0	0.0
46340589-46340989	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340602-46341002	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340607-46341007	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340620-46341020	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340629-46341029	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340719-46341119	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46340987-46341387	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46341123-46341523	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46341297-46341697	ENSG00000117481.11	0.5561	0.5996	0.0	0.0	-0.41314
46344582-46344982	ENSG00000117481.11	-0.5845				
46344601-46345001	ENSG00000117481.11	-0.5845				
46344762-46345162	ENSG00000117481.11	-0.5845				
5992439-5992839	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992466-5992866	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992471-5992871	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992475-5992875	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992485-5992885	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992493-5992893	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	-1.21284
5992503-5992903	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992506-5992906	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992511-5992911	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992514-5992914	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992523-5992923	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992531-5992931	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992553-5992953	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992560-5992960	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
5992588-5992988	ENSG00000069424.16	-0.6264	-0.18105	0.0	0.0	0.0
6026072-6026472	ENSG00000069424.16	0.6864				
6026075-6026475	ENSG00000069424.16	0.6864				
6026076-6026476	ENSG00000069424.16	0.6864				
6026094-6026494	ENSG00000069424.16	0.6864				
6026120-6026520	ENSG00000069424.16	0.6864				
6026127-6026527	ENSG00000069424.16	0.6864				
6026134-6026534	ENSG00000069424.16	0.6864				
6026145-6026545	ENSG00000069424.16	0.6864				
6026147-6026547	ENSG00000069424.16	0.6864				
6026161-6026561	ENSG00000069424.16	0.6864				
6026245-6026645	ENSG00000069424.16	0.6864				
6040317-6040717	ENSG00000069424.16	0.6864				
6040445-6040845	ENSG00000069424.16	0.6864				
102617090-102617490	ENSG00000107882.12	0.372				
102617228-102617628	ENSG00000107882.12	0.372				
102618866-102619266	ENSG00000107882.12	0.372				
102626975-102627375	ENSG00000107882.12	-0.372	0.0	0.0	0.0	-0.61597
102627043-102627443	ENSG00000107882.12	-0.372	0.0	0.0	0.0	-0.61597
42338040-42338440	ENSG00000215146.5	-0.4219				
42360749-42361149	ENSG00000215146.5	0.5085	0.0	0.0	1.42735	0.0
42360834-42361234	ENSG00000215146.5	0.5085	0.0	0.0	1.42735	0.0
42367527-42367927	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
42367616-42368016	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
42367733-42368133	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
42367756-42368156	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
42367771-42368171	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
42367774-42368174	ENSG00000215146.5	0.5085	-0.84096	0.0	1.53844	-3.11416
60138764-60139164	ENSG00000151150.22	0.2974	0.47367	0.48629	0.0	0.0
60138887-60139287	ENSG00000151150.22	0.2974	0.47367	0.48629	0.0	0.0
60140152-60140552	ENSG00000151150.22	-0.4188	0.47367	0.0	0.0	-0.19703
60140315-60140715	ENSG00000151150.22	-0.4188	0.47367	0.0	0.0	-0.19703
60140333-60140733	ENSG00000151150.22	-0.4188	0.47367	0.0	0.0	-0.19703
60145768-60146168	ENSG00000151150.22	0.2974				
60145821-60146221	ENSG00000151150.22	0.2974	0.0	-0.06194	0.0	0.0
68516551-68516951	ENSG00000122912.15	0.497	0.0	0.0	0.0	-0.42837
68516643-68517043	ENSG00000122912.15	0.497	0.0	0.0	0.0	-0.42837
68516884-68517284	ENSG00000122912.15	0.497	0.0	0.0	0.0	-0.42837
68516985-68517385	ENSG00000122912.15	0.497	0.0	0.0	0.0	-0.42837
68517065-68517465	ENSG00000122912.15	0.497	0.0	0.0	0.0	-0.42837
68527046-68527446	ENSG00000122912.15	-0.497	-0.52624	0.0	0.0	-1.41747
68527216-68527616	ENSG00000122912.15	-0.497	-0.52624	0.0	0.0	-1.41747
68527238-68527638	ENSG00000122912.15	-0.497	-0.52624	0.0	0.0	-1.41747
78036994-78037394	ENSG00000138326.21	0.6241				
78037018-78037418	ENSG00000138326.21	0.6241				
78037104-78037504	ENSG00000138326.21	0.6241				
78037239-78037639	ENSG00000138326.21	0.6241				
78037241-78037641	ENSG00000138326.21	0.6241				
78040001-78040401	ENSG00000138326.21	-0.5098	0.80731	0.0	0.0	2.16584
78040004-78040404	ENSG00000138326.21	-0.5098	0.80731	0.0	0.0	2.16584
78040025-78040425	ENSG00000138326.21	-0.5098	0.80731	0.0	0.0	2.16584
78040415-78040815	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040496-78040896	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040497-78040897	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040501-78040901	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040513-78040913	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040516-78040916	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
78040547-78040947	ENSG00000138326.21	0.6241	0.0	0.0	0.0	1.97722
91222729-91223129	ENSG00000180628.15	0.3306	0.0	-0.65124	0.0	0.0
91222783-91223183	ENSG00000180628.15	0.3306	0.0	-0.65124	0.0	0.0
91227137-91227537	ENSG00000180628.15	0.3306				
91240284-91240684	ENSG00000180628.15	-0.3306	0.0	1.67393	0.0	0.0
91240380-91240780	ENSG00000180628.15	-0.3306	0.0	1.39626	0.0	0.0
106010867-106011267	ENSG00000170903.12	0.5084				
106020762-106021162	ENSG00000170903.12	0.5084	-0.19296	0.0	0.0	0.0
106021922-106022322	ENSG00000170903.12	-0.5596	-0.19296	0.0	0.0	1.15326
106021995-106022395	ENSG00000170903.12	-0.5596	-0.19296	0.0	0.0	1.15326
106022040-106022440	ENSG00000170903.12	-0.5596	-0.19296	0.0	0.0	1.15326
106022050-106022450	ENSG00000170903.12	-0.5596	-0.19296	0.0	0.0	1.15326
113314275-113314675	ENSG00000149292.17	-0.8217	-0.09509	-1.30773	0.0	0.58764
113314282-113314682	ENSG00000149292.17	-0.8217	-0.09509	-1.30773	0.0	0.58764
113314379-113314779	ENSG00000149292.17	-0.8217	-0.09509	-1.30773	0.0	0.58764
113314383-113314783	ENSG00000149292.17	-0.8217	-0.09509	-1.30773	0.0	0.58764
113314391-113314791	ENSG00000149292.17	-0.8217	-0.09509	0.0	0.0	0.58764
113314402-113314802	ENSG00000149292.17	-0.8217	-0.09509	0.0	0.0	0.58764
113314407-113314807	ENSG00000149292.17	-0.8217	-0.09509	0.0	0.0	0.58764
113314418-113314818	ENSG00000149292.17	-0.8217	-0.09509	0.0	0.0	0.58764
113314611-113315011	ENSG00000149292.17	-0.8217	-0.09509	0.0	0.0	0.58764
113315751-113316151	ENSG00000149292.17	0.7604				
113315853-113316253	ENSG00000149292.17	0.7604				
113316039-113316439	ENSG00000149292.17	0.7604				
113316041-113316441	ENSG00000149292.17	0.7604				
113316043-113316443	ENSG00000149292.17	0.7604				
113316115-113316515	ENSG00000149292.17	0.7604				
124876075-124876475	ENSG00000154134.15	-0.7883	-0.04298	1.04689	0.0	0.11942
124876260-124876660	ENSG00000154134.15	-0.7883	-0.04298	1.04689	0.0	0.11942
124876266-124876666	ENSG00000154134.15	-0.7883	-0.04298	1.04689	0.0	0.11942
124876270-124876670	ENSG00000154134.15	-0.7883	-0.04298	1.04689	0.0	0.11942
124876286-124876686	ENSG00000154134.15	-0.7883	-0.04298	1.04689	0.0	0.11942
124876538-124876938	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876614-124877014	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876618-124877018	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876622-124877022	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876626-124877026	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876642-124877042	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876646-124877046	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876675-124877075	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876732-124877132	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876961-124877361	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124876984-124877384	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.11942
124877067-124877467	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.0
124877085-124877485	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.0
124877109-124877509	ENSG00000154134.15	0.785	-0.04298	0.0	0.0	0.0
124877188-124877588	ENSG00000154134.15	0.4024	-0.04298	0.0	0.0	0.0
124877317-124877717	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877319-124877719	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877363-124877763	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877458-124877858	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877471-124877871	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877476-124877876	ENSG00000154134.15	-0.5796	-0.04298	0.0	0.0	0.0
124877541-124877941	ENSG00000154134.15	-0.5796				
124877552-124877952	ENSG00000154134.15	-0.5796				
124877596-124877996	ENSG00000154134.15	-0.5796				
124877710-124878110	ENSG00000154134.15	-0.5796				
124877737-124878137	ENSG00000154134.15	-0.4468				
124877931-124878331	ENSG00000154134.15	-0.4468				
124878097-124878497	ENSG00000154134.15	-0.4468				
124878098-124878498	ENSG00000154134.15	-0.4468				
124878165-124878565	ENSG00000154134.15	-0.4468				
124878210-124878610	ENSG00000154134.15	-0.4468				
124878236-124878636	ENSG00000154134.15	-0.4468				
126211446-126211846	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211450-126211850	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211492-126211892	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211524-126211924	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211566-126211966	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211572-126211972	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211573-126211973	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211577-126211977	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211582-126211982	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126211630-126212030	ENSG00000197798.9	-0.3702	0.17531	0.0	0.0	0.1682
126229024-126229424	ENSG00000197798.9	0.3553				
126229025-126229425	ENSG00000197798.9	0.3553				
126229093-126229493	ENSG00000197798.9	0.3553				
126229136-126229536	ENSG00000197798.9	0.3553				
126234795-126235195	ENSG00000197798.9	0.3553				
126234887-126235287	ENSG00000197798.9	0.3553				
128490257-128490657	ENSG00000134954.14	0.7754				
128490376-128490776	ENSG00000134954.14	0.7754				
128521713-128522113	ENSG00000134954.14	-0.7843	0.17833	-1.7666	0.0	0.0
128556091-128556491	ENSG00000134954.14	0.7754				
128556235-128556635	ENSG00000134954.14	0.7754				
1456328-1456728	ENSG00000174672.16	0.4062				
1456398-1456798	ENSG00000174672.16	0.4062				
1456487-1456887	ENSG00000174672.16	0.4062				
1456755-1457155	ENSG00000174672.16	0.4062				
1456840-1457240	ENSG00000174672.16	0.4062				
1456849-1457249	ENSG00000174672.16	0.4062				
1458992-1459392	ENSG00000174672.16	0.3469	0.0	0.0	0.0	-0.60595
1459036-1459436	ENSG00000174672.16	0.3469	0.0	0.0	0.0	-0.60595
1459039-1459439	ENSG00000174672.16	0.3469	0.0	0.0	0.0	-0.60595
33722179-33722579	ENSG00000085063.17	0.3453				
33722248-33722648	ENSG00000085063.17	0.3453				
33722256-33722656	ENSG00000085063.17	0.3453				
33722263-33722663	ENSG00000085063.17	0.3453				
33722267-33722667	ENSG00000085063.17	0.3453				
33722371-33722771	ENSG00000085063.17	0.3453				
33722436-33722836	ENSG00000085063.17	0.3453				
33731224-33731624	ENSG00000085063.17	0.3453				
33731268-33731668	ENSG00000085063.17	0.3453				
33736182-33736582	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736208-33736608	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736222-33736622	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736223-33736623	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736225-33736625	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736227-33736627	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
33736279-33736679	ENSG00000085063.17	-0.3558	-0.06637	-0.82108	0.0	0.452
64635071-64635471	ENSG00000110076.20	0.6099				
64635252-64635652	ENSG00000110076.20	0.6099				
64642339-64642739	ENSG00000110076.20	-0.6111	-0.1412	1.48792	0.0	0.0
64642400-64642800	ENSG00000110076.20	-0.6111	-0.1412	1.48792	0.0	0.0
64648019-64648419	ENSG00000110076.20	0.6099				
64648138-64648538	ENSG00000110076.20	0.6099	0.0	1.45634	0.0	0.0
66278142-66278542	ENSG00000174871.11	-0.3811	-0.74221	0.0	0.0	0.0
66278262-66278662	ENSG00000174871.11	-0.3811	-0.74221	0.0	0.0	-0.78774
66278295-66278695	ENSG00000174871.11	-0.3811	-0.74221	0.0	0.0	-0.78774
66278325-66278725	ENSG00000174871.11	-0.3811	-0.74221	0.0	0.0	-0.78774
66278337-66278737	ENSG00000174871.11	-0.3811	-0.74221	0.0	0.0	-0.78774
66281217-66281617	ENSG00000174871.11	0.3811				
66281374-66281774	ENSG00000174871.11	0.3811				
66282059-66282459	ENSG00000174871.11	0.3811				
66282127-66282527	ENSG00000174871.11	0.3811				
66282153-66282553	ENSG00000174871.11	0.3811				
75477419-75477819	ENSG00000158555.15	0.4412				
75477595-75477995	ENSG00000158555.15	0.4412				
75477651-75478051	ENSG00000158555.15	0.4412				
75479044-75479444	ENSG00000158555.15	0.4412				
75479117-75479517	ENSG00000158555.15	0.4412				
75479203-75479603	ENSG00000158555.15	0.4412				
75490037-75490437	ENSG00000158555.15	0.4265				
75490089-75490489	ENSG00000158555.15	0.4265				
75490120-75490520	ENSG00000158555.15	0.4265				
75490404-75490804	ENSG00000158555.15	0.4265				
75490551-75490951	ENSG00000158555.15	0.4265				
75525010-75525410	ENSG00000158555.15	-0.4264	-0.35259	0.84622	0.0	0.0
75525056-75525456	ENSG00000158555.15	-0.4264	-0.35259	0.84622	0.0	0.0
75525084-75525484	ENSG00000158555.15	-0.4264	-0.35259	0.84622	0.0	0.0
75525174-75525574	ENSG00000158555.15	-0.4264	-0.35259	0.84622	0.0	0.0
78903323-78903723	ENSG00000149256.16	0.4034				
